directorio,secuencia_p,orden,formal,estrato1,sex,age,fweight,maxeduclevel,y_salary_m_hu,y_total_m,p6585s1,p6585s2,p6585s3,p6585s4
4588475,1,2,1.0,3.0,1.0,43.0,259.0,5.0,4861.111328125,1631666.625,0,0,0,0
4588475,1,5,1.0,3.0,1.0,23.0,259.0,5.0,4520.83349609375,1012140,0,1,0,0
4588476,1,3,1.0,2.0,0.0,32.0,272.0,6.0,5250.0,1093211,0,1,1,0
4588477,1,1,0.0,2.0,1.0,83.0,226.0,3.0,4326.388671875,890000,0,0,0,0
4588478,1,1,1.0,2.0,1.0,52.0,322.0,4.0,3797.7041015625,1059929.375,0,1,1,0
4588479,1,3,0.0,2.0,0.0,20.0,219.0,6.0,2666.66674804688,8e+05,0,0,0,0
4588480,1,4,1.0,4.0,0.0,27.0,154.0,7.0,4618.0556640625,1038211,0,1,0,0
4588482,1,1,1.0,2.0,1.0,32.0,290.0,6.0,2531.802734375,929453,0,1,1,0
4588483,1,1,0.0,2.0,1.0,54.0,257.0,6.0,1633.33337402344,420000,0,0,0,0
4588486,1,2,1.0,4.0,1.0,25.0,158.0,7.0,17500.0,1500000,0,0,0,0
4588487,1,1,1.0,2.0,0.0,47.0,246.0,4.0,3797.7041015625,899453,0,1,1,0
4588489,1,2,0.0,3.0,0.0,40.0,188.0,7.0,2333.33325195312,80000,0,0,0,0
4588492,1,1,1.0,2.0,0.0,49.0,207.0,5.0,3797.7041015625,869453,0,1,0,0
4588492,1,2,0.0,2.0,0.0,20.0,207.0,7.0,11666.6669921875,8e+05,0,0,0,0
4588493,1,2,0.0,3.0,0.0,42.0,243.0,4.0,3500.0,6e+05,0,0,0,0
4588493,1,1,0.0,3.0,1.0,48.0,243.0,4.0,3826.66674804688,820000,0,0,0,0
4588496,1,3,0.0,4.0,0.0,30.0,180.0,7.0,3888.88891601562,829000,0,1,1,0
4588497,1,2,1.0,4.0,1.0,44.0,167.0,7.0,14583.3330078125,3e+06,0,0,0,0
4588498,1,4,1.0,4.0,0.0,57.0,141.0,7.0,31111.111328125,4500000,0,0,0,0
4588498,1,1,1.0,4.0,0.0,54.0,141.0,7.0,11277.77734375,1625000,0,0,0,0
4588499,1,1,1.0,2.0,1.0,23.0,221.0,7.0,3986.11108398438,908211,0,1,0,0
4588500,1,2,0.0,3.0,1.0,23.0,260.0,7.0,4573.33349609375,980000,0,0,0,0
4588500,1,3,0.0,3.0,1.0,20.0,260.0,6.0,4666.66650390625,4e+05,1,0,0,0
4588500,1,1,0.0,3.0,1.0,45.0,260.0,6.0,4666.66650390625,1e+06,0,0,0,0
4588501,1,1,1.0,3.0,1.0,45.0,322.0,6.0,3038.16333007812,927619.6875,0,1,1,0
4588503,1,1,1.0,2.0,0.0,33.0,229.0,6.0,3797.7041015625,931953,0,1,0,0
4588504,1,3,0.0,3.0,1.0,22.0,187.0,7.0,5081.4814453125,980000,0,1,0,0
4588510,1,1,1.0,1.0,1.0,39.0,289.0,4.0,3645.7958984375,930929.4375,0,1,0,0
4588511,1,1,0.0,3.0,0.0,62.0,223.0,5.0,5444.4443359375,7e+05,0,0,0,0
4588513,1,2,0.0,3.0,1.0,34.0,234.0,6.0,3797.7041015625,781242,0,0,0,0
4588514,1,1,0.0,3.0,0.0,25.0,319.0,6.0,3111.11108398438,720000,0,0,0,0
4588516,1,4,1.0,2.0,1.0,54.0,211.0,5.0,4754.16650390625,1084000,1,1,1,0
4588517,1,1,1.0,2.0,1.0,50.0,177.0,4.0,4375.0,1089044.375,0,1,1,0
4588517,1,3,1.0,2.0,0.0,20.0,177.0,6.0,4557.2451171875,869453,0,1,0,0
4588518,1,4,0.0,2.0,0.0,19.0,184.0,7.0,3888.88891601562,270000,0,0,0,0
4588520,1,1,1.0,1.0,1.0,30.0,243.0,3.0,3797.7041015625,899053,0,1,1,0
4588521,1,3,1.0,2.0,1.0,20.0,246.0,7.0,2604.13989257812,919453,0,1,0,0
4588522,1,1,0.0,2.0,1.0,26.0,325.0,4.0,3030.30297851562,1e+06,0,0,0,0
4588524,1,1,1.0,3.0,1.0,51.0,247.0,6.0,7000.0,1288211,0,1,0,0
4588524,1,2,1.0,3.0,0.0,54.0,247.0,4.0,4557.2451171875,869453,1,1,0,0
4588525,1,3,1.0,4.0,0.0,24.0,142.0,7.0,24305.5546875,5e+06,0,0,0,0
4588525,1,4,1.0,4.0,1.0,34.0,142.0,7.0,15555.5556640625,3200000,0,0,0,0
4588526,1,1,1.0,4.0,1.0,57.0,172.0,7.0,43263.890625,10750000,0,0,0,0
4588526,1,3,1.0,4.0,0.0,24.0,172.0,7.0,17013.888671875,3500000,0,0,0,0
4588527,1,1,1.0,3.0,1.0,42.0,246.0,3.0,5833.33349609375,1200000,0,0,0,0
4588527,1,3,1.0,3.0,1.0,22.0,246.0,7.0,4861.111328125,1e+06,0,1,0,0
4588529,1,1,0.0,1.0,0.0,56.0,233.0,1.0,1458.33337402344,50000,0,0,0,0
4588530,1,1,0.0,2.0,0.0,59.0,200.0,4.0,2333.33325195312,80000,0,0,0,0
4588531,1,3,1.0,2.0,1.0,26.0,296.0,7.0,3797.7041015625,869453,0,1,0,0
4588533,1,1,0.0,2.0,1.0,45.0,322.0,3.0,5833.33349609375,720833.3125,0,0,0,0
4588534,1,2,1.0,2.0,0.0,31.0,400.0,7.0,4861.111328125,1146211,0,1,1,0
4588535,1,1,1.0,1.0,0.0,51.0,217.0,6.0,3797.7041015625,842718.4375,0,0,0,0
4588535,1,2,0.0,1.0,1.0,56.0,217.0,3.0,3005.05053710938,910000,0,0,0,0
4588543,1,1,1.0,2.0,1.0,42.0,322.0,7.0,8750.0,1950000,0,0,0,0
4588544,1,1,1.0,2.0,0.0,38.0,321.0,7.0,7000.0,1409877.625,0,1,1,0
4588545,1,3,0.0,1.0,0.0,34.0,232.0,6.0,2800.0,720000,0,0,0,0
4588546,1,1,1.0,2.0,0.0,38.0,245.0,7.0,10451.388671875,2359166.75,1,0,1,0
4588547,1,1,0.0,3.0,1.0,21.0,209.0,6.0,3266.66674804688,672000,0,0,0,0
4588548,1,2,1.0,3.0,1.0,29.0,237.0,6.0,3797.7041015625,983119.6875,0,1,1,0
4588548,1,3,1.0,3.0,1.0,37.0,237.0,5.0,3797.7041015625,983119.6875,0,1,1,0
4588551,1,1,0.0,2.0,0.0,34.0,321.0,7.0,4083.33325195312,560000,0,0,0,0
4588552,1,1,1.0,2.0,1.0,51.0,159.0,6.0,6611.111328125,1870666.625,0,0,1,0
4588552,1,3,0.0,2.0,1.0,29.0,159.0,7.0,3797.7041015625,781242,0,0,0,0
4588552,1,7,0.0,2.0,0.0,19.0,159.0,7.0,4557.2451171875,781242,0,0,0,0
4588553,1,1,1.0,3.0,0.0,33.0,128.0,7.0,2916.66674804688,5e+05,0,0,0,0
4588553,1,4,1.0,3.0,1.0,23.0,128.0,7.0,3797.7041015625,930929.4375,0,1,0,0
4588557,1,3,1.0,2.0,0.0,25.0,189.0,6.0,4375.0,1059044.375,0,1,0,0
4588559,1,2,1.0,3.0,1.0,55.0,119.0,5.0,3797.7041015625,930929.4375,0,1,0,0
4588561,1,1,1.0,3.0,0.0,39.0,125.0,5.0,3797.7041015625,869453,0,1,0,0
4588561,1,2,0.0,3.0,0.0,23.0,125.0,5.0,3797.7041015625,781242,0,0,0,0
4588562,1,5,1.0,2.0,1.0,28.0,474.0,7.0,5347.22216796875,1248211,0,1,1,0
4588562,1,4,1.0,2.0,0.0,30.0,474.0,7.0,17013.888671875,3588211,0,1,0,0
4588563,1,2,1.0,2.0,0.0,36.0,218.0,7.0,6481.4814453125,250000,0,0,0,0
4588564,1,1,1.0,2.0,1.0,28.0,234.0,7.0,10208.3330078125,1675000,0,1,0,0
4588565,1,1,1.0,2.0,1.0,28.0,322.0,7.0,3888.88891601562,1112333.375,0,1,1,0
4588567,1,2,1.0,2.0,1.0,33.0,269.0,3.0,4557.2451171875,899453,0,1,1,0
4588568,1,1,1.0,3.0,1.0,31.0,243.0,7.0,8750.0,2310000,0,0,0,0
4588568,1,2,1.0,3.0,0.0,30.0,243.0,7.0,10500.0,1835833.375,1,1,0,0
4588569,1,1,1.0,2.0,1.0,26.0,268.0,6.0,4861.111328125,1044000,0,1,1,0
4588573,1,4,1.0,2.0,0.0,26.0,292.0,7.0,6740.74072265625,1300000,0,1,0,0
4588573,1,3,0.0,2.0,1.0,19.0,292.0,7.0,4666.66650390625,80000,0,0,0,0
4588573,1,2,1.0,2.0,1.0,48.0,292.0,7.0,3038.16333007812,927786.3125,0,1,0,0
4588573,1,1,1.0,2.0,0.0,45.0,292.0,7.0,3464.646484375,1063333.375,0,1,0,0
4588579,1,5,1.0,2.0,1.0,29.0,262.0,6.0,3500.0,1293211,1,1,1,0
4588579,1,1,1.0,2.0,1.0,42.0,262.0,3.0,4949.4951171875,1864877.625,0,1,1,0
4588579,1,6,0.0,2.0,0.0,24.0,262.0,7.0,3733.33325195312,480000,0,1,0,0
4588580,1,3,0.0,2.0,1.0,55.0,179.0,4.0,1944.44445800781,5e+05,0,0,0,0
4588581,1,3,1.0,2.0,1.0,23.0,208.0,7.0,4375.0,937500,0,0,0,0
4588583,2,1,1.0,2.0,0.0,57.0,198.0,6.0,4034.72216796875,918211,0,1,0,0
4588584,1,1,1.0,3.0,0.0,39.0,207.0,7.0,21000.0,3666666.75,0,0,0,0
4588585,1,2,1.0,2.0,0.0,44.0,210.0,7.0,6756.9443359375,1751266.75,0,1,1,0
4588588,1,3,1.0,2.0,1.0,35.0,208.0,6.0,3535.353515625,1050000,0,1,1,0
4588589,1,1,1.0,3.0,0.0,34.0,365.0,7.0,11666.6669921875,3333333.25,0,0,0,0
4588591,1,2,1.0,2.0,0.0,24.0,181.0,7.0,9281.4814453125,1988000,0,0,1,0
4588593,1,1,0.0,2.0,1.0,27.0,292.0,6.0,3888.88891601562,8e+05,0,0,0,0
4588593,1,2,1.0,2.0,0.0,29.0,292.0,6.0,5063.60546875,898453,0,1,1,0
4588594,1,1,0.0,2.0,1.0,48.0,255.0,4.0,3375.73706054688,781242,0,0,0,0
4588596,1,3,1.0,3.0,0.0,20.0,172.0,6.0,5347.22216796875,1183333.375,0,1,0,0
4588597,1,5,0.0,2.0,1.0,52.0,312.0,6.0,1944.44445800781,4e+05,0,0,0,0
4588598,1,1,1.0,2.0,1.0,47.0,327.0,3.0,4861.111328125,1101666.625,0,1,1,0
4588598,1,4,0.0,2.0,1.0,19.0,327.0,7.0,1847.22216796875,380000,0,0,0,0
4588601,1,2,1.0,2.0,0.0,26.0,219.0,7.0,12152.77734375,2500000,0,0,0,0
4588603,1,2,1.0,2.0,1.0,27.0,234.0,7.0,6467.39111328125,1454044.375,0,1,0,0
4588605,1,1,1.0,2.0,0.0,30.0,231.0,7.0,4131.9443359375,910000,0,0,1,0
4588605,1,2,1.0,2.0,1.0,32.0,231.0,6.0,5687.5,1409877.625,0,1,1,0
4588607,1,1,1.0,2.0,1.0,33.0,255.0,5.0,3797.7041015625,1160929.375,0,1,1,0
4588608,1,1,1.0,2.0,1.0,20.0,233.0,6.0,5590.27783203125,1150000,0,1,0,0
4588610,1,4,1.0,3.0,1.0,29.0,192.0,6.0,3797.7041015625,866242,0,1,1,0
4588610,1,2,1.0,3.0,0.0,22.0,192.0,6.0,3797.7041015625,837742,0,1,1,0
4588610,1,5,1.0,3.0,0.0,27.0,192.0,6.0,3797.7041015625,806242,0,1,0,0
4588611,1,2,1.0,3.0,0.0,48.0,181.0,6.0,3797.7041015625,781242,0,0,0,0
4588613,1,1,1.0,2.0,0.0,44.0,240.0,7.0,3797.7041015625,930929.4375,0,1,0,0
4588614,1,3,0.0,3.0,1.0,20.0,237.0,6.0,4666.66650390625,480000,0,0,0,0
4588615,1,1,0.0,3.0,0.0,42.0,287.0,4.0,5833.33349609375,1e+06,0,0,0,0
4588616,1,1,1.0,3.0,0.0,25.0,243.0,7.0,3173.33325195312,1257333.375,0,0,0,0
4588616,1,2,0.0,3.0,1.0,27.0,243.0,4.0,2819.4443359375,580000,0,0,0,0
4588617,1,3,0.0,2.0,1.0,22.0,291.0,7.0,3797.7041015625,933119.6875,0,1,0,0
4588617,1,1,1.0,2.0,0.0,47.0,291.0,6.0,3314.36010742188,988929.4375,0,1,1,0
4588619,1,1,0.0,2.0,0.0,48.0,287.0,6.0,3645.7958984375,844825.3125,0,1,0,0
4588621,1,2,1.0,4.0,0.0,41.0,219.0,7.0,23916.666015625,4433333.5,0,0,0,0
4588622,1,2,1.0,2.0,0.0,45.0,246.0,5.0,4853.33349609375,1240544.375,0,1,1,0
4588622,1,1,0.0,2.0,1.0,45.0,246.0,6.0,3456.7900390625,433333.34375,0,0,0,0
4588624,1,1,1.0,3.0,1.0,37.0,296.0,6.0,3986.11108398438,949461,0,1,1,0
4588624,1,4,1.0,3.0,1.0,61.0,296.0,5.0,3797.7041015625,843742,0,0,0,0
4588624,1,2,1.0,3.0,0.0,36.0,296.0,7.0,4375.0,1018211,0,1,1,0
4588626,1,1,1.0,2.0,0.0,40.0,287.0,7.0,4861.111328125,1200544.375,0,1,1,0
4588627,1,1,1.0,2.0,0.0,39.0,240.0,6.0,4131.9443359375,948333.3125,0,1,1,0
4588629,1,2,1.0,2.0,0.0,39.0,289.0,7.0,4375.0,1123211,0,1,1,0
4588629,1,1,1.0,2.0,1.0,43.0,289.0,7.0,4131.9443359375,1064877.625,0,1,1,0
4588632,1,1,1.0,2.0,1.0,41.0,324.0,5.0,4666.66650390625,1174877.625,0,1,1,0
4588633,1,3,1.0,1.0,1.0,27.0,272.0,6.0,3797.7041015625,869453,0,1,0,0
4588633,1,4,1.0,1.0,0.0,26.0,272.0,7.0,3797.7041015625,869453,0,1,0,0
4588635,1,2,1.0,2.0,0.0,25.0,310.0,6.0,3797.7041015625,970929.4375,0,1,1,0
4588635,1,1,1.0,2.0,1.0,28.0,310.0,6.0,8750.0,2068211,0,1,1,0
4588635,1,4,1.0,2.0,0.0,30.0,310.0,5.0,3797.7041015625,964929.4375,0,1,1,0
4588637,1,1,0.0,1.0,0.0,37.0,207.0,4.0,2450.0,660000,0,1,0,0
4588638,1,3,1.0,1.0,0.0,20.0,212.0,6.0,3797.7041015625,790063,0,1,0,0
4588638,1,2,1.0,1.0,1.0,26.0,212.0,6.0,3797.7041015625,869453,0,1,0,0
4588642,1,1,0.0,1.0,0.0,25.0,415.0,6.0,2333.33325195312,5e+05,0,0,0,0
4588642,1,2,1.0,1.0,1.0,28.0,415.0,7.0,3797.7041015625,862484,0,1,0,0
4588644,1,2,1.0,2.0,0.0,40.0,371.0,7.0,3888.88891601562,948211,0,1,1,0
4588645,1,3,1.0,2.0,1.0,23.0,219.0,7.0,4131.9443359375,988211,0,1,0,0
4588646,1,1,0.0,2.0,0.0,49.0,240.0,5.0,3645.7958984375,930929.4375,0,1,0,0
4588648,1,1,1.0,2.0,1.0,61.0,226.0,5.0,6066.66650390625,1758000,0,1,0,0
4588649,1,4,1.0,2.0,1.0,29.0,296.0,7.0,16333.3330078125,3033333.25,0,0,0,0
4588649,1,3,1.0,2.0,1.0,33.0,296.0,7.0,25958.333984375,4820833.5,0,0,0,0
4588650,1,2,1.0,2.0,0.0,34.0,290.0,6.0,4618.0556640625,1068211,0,1,1,0
4588650,1,1,1.0,2.0,1.0,35.0,290.0,6.0,4861.111328125,1318211,0,1,1,0
4588652,1,3,1.0,2.0,0.0,26.0,232.0,7.0,4618.0556640625,1213211,0,1,0,0
4591940,1,2,1.0,3.0,0.0,52.0,412.0,7.0,5055.5556640625,1488211,0,1,0,0
4591940,1,4,0.0,3.0,1.0,21.0,412.0,7.0,15555.5556640625,4e+05,0,0,0,0
4591940,1,1,1.0,3.0,1.0,56.0,412.0,7.0,5833.33349609375,2425000,0,1,0,0
4591943,1,1,1.0,3.0,1.0,29.0,222.0,7.0,8400.0,1950000,0,1,0,0
4593365,1,3,1.0,2.0,1.0,30.0,246.0,6.0,3797.7041015625,781242,0,1,0,0
4593367,1,2,1.0,2.0,1.0,29.0,426.0,6.0,2222.22216796875,8e+05,0,0,0,0
4593367,1,3,1.0,2.0,0.0,32.0,426.0,6.0,3888.88891601562,1039687.4375,0,1,1,0
4593370,1,3,1.0,3.0,1.0,27.0,208.0,7.0,10694.4443359375,2376666.75,0,0,0,0
4593374,1,1,0.0,3.0,0.0,26.0,240.0,7.0,1400.0,180000,0,0,0,0
4593375,1,2,1.0,3.0,0.0,33.0,271.0,7.0,14000.0,3280000,0,0,1,0
4593375,1,4,1.0,3.0,1.0,23.0,271.0,6.0,3698.11328125,1040000,0,1,0,0
4593375,1,5,1.0,3.0,1.0,29.0,271.0,6.0,3797.7041015625,1210929.375,0,1,1,0
4593376,1,1,0.0,2.0,1.0,53.0,243.0,6.0,5185.18505859375,1e+06,0,0,0,0
4593376,1,2,0.0,2.0,0.0,44.0,243.0,4.0,4666.66650390625,488083.34375,0,0,0,0
4593378,1,1,1.0,2.0,1.0,27.0,300.0,7.0,3797.7041015625,869453,0,1,0,0
4593379,1,1,1.0,2.0,0.0,42.0,451.0,4.0,5298.611328125,1237211,0,1,1,0
4593379,1,3,1.0,2.0,0.0,22.0,451.0,7.0,3797.7041015625,869453,0,1,0,0
4593379,1,6,1.0,2.0,0.0,39.0,451.0,4.0,3797.7041015625,929453,0,1,1,0
4593380,1,4,0.0,2.0,1.0,25.0,328.0,5.0,3500.0,9e+05,0,0,0,0
4593381,1,2,1.0,3.0,0.0,31.0,322.0,7.0,8750.0,1841500,1,0,1,0
4593383,1,4,1.0,3.0,1.0,21.0,266.0,7.0,11666.6669921875,3e+05,0,0,0,0
4593384,1,1,1.0,2.0,1.0,45.0,243.0,4.0,3797.7041015625,869453,0,1,0,0
4593384,1,2,0.0,2.0,0.0,51.0,243.0,4.0,3375.73706054688,869453,0,1,0,0
4593386,1,3,1.0,3.0,1.0,27.0,243.0,6.0,8076.9228515625,1928000,0,1,1,0
4593390,1,2,1.0,2.0,1.0,44.0,243.0,5.0,3797.7041015625,939453,0,1,0,0
4593392,1,2,1.0,4.0,0.0,54.0,223.0,7.0,19444.4453125,4500000,0,0,0,0
4593392,1,3,1.0,4.0,1.0,47.0,223.0,7.0,19444.4453125,4e+06,0,0,0,0
4593395,1,1,1.0,4.0,1.0,47.0,179.0,7.0,18666.666015625,4e+06,0,0,0,0
4593395,1,2,1.0,4.0,0.0,38.0,179.0,6.0,9722.22265625,2e+06,0,0,0,0
4593399,1,1,1.0,2.0,0.0,34.0,287.0,6.0,3797.7041015625,959929.4375,0,1,1,0
4593403,1,2,1.0,2.0,0.0,55.0,174.0,6.0,3797.7041015625,959929.4375,0,1,1,0
4593404,1,1,1.0,4.0,0.0,55.0,222.0,7.0,4666.66650390625,1200000,0,0,0,0
4593404,1,3,1.0,4.0,1.0,24.0,222.0,7.0,7291.66650390625,1593761,0,1,0,0
4593406,1,1,1.0,2.0,1.0,31.0,322.0,6.0,9236.111328125,1936000,1,1,1,0
4593409,1,3,1.0,2.0,0.0,38.0,132.0,5.0,3797.7041015625,931953,0,1,0,0
4593410,1,2,1.0,2.0,1.0,28.0,170.0,5.0,3888.88891601562,888211,0,1,0,0
4593410,1,3,0.0,2.0,1.0,20.0,170.0,5.0,3797.7041015625,781242,0,0,0,0
4593411,1,1,1.0,3.0,1.0,47.0,212.0,7.0,3797.7041015625,898453,0,1,1,0
4593411,1,2,1.0,3.0,0.0,47.0,212.0,7.0,12833.3330078125,2414333.25,0,0,1,0
4593411,1,3,0.0,3.0,1.0,22.0,212.0,7.0,3645.83325195312,750000,0,0,0,0
4593412,1,1,1.0,2.0,1.0,33.0,368.0,7.0,6666.66650390625,2330000,0,0,1,0
4593413,1,3,1.0,3.0,0.0,35.0,206.0,7.0,13591.6669921875,2538333.25,0,0,0,0
4593413,1,4,1.0,3.0,1.0,29.0,206.0,6.0,9722.22265625,2041666.625,0,0,0,0
4593415,1,1,1.0,3.0,1.0,46.0,255.0,6.0,4375.0,1071544.375,0,1,0,0
4593418,1,2,1.0,3.0,0.0,50.0,186.0,5.0,5250.0,9e+05,0,0,0,0
4593419,1,4,1.0,3.0,1.0,29.0,395.0,6.0,5833.33349609375,1417211,0,1,1,0
4593420,1,1,1.0,3.0,1.0,58.0,217.0,7.0,7291.66650390625,1500000,0,0,0,0
4593420,1,3,1.0,3.0,1.0,22.0,217.0,7.0,4375.0,988211,0,1,0,0
4593424,1,2,1.0,3.0,0.0,29.0,368.0,6.0,5090.9091796875,1421211,0,1,1,0
4593426,1,3,1.0,2.0,0.0,25.0,212.0,7.0,6319.4443359375,1500000,0,1,0,0
4593426,1,4,1.0,2.0,0.0,18.0,212.0,7.0,4770.37060546875,1008211,0,1,0,0
4593426,1,5,1.0,2.0,0.0,20.0,212.0,7.0,5509.25927734375,1039044.3125,0,1,1,0
4593428,1,2,1.0,2.0,0.0,28.0,301.0,7.0,8166.66650390625,1634877.625,0,1,1,0
4593428,1,3,1.0,2.0,1.0,29.0,301.0,7.0,5833.33349609375,1384877.625,0,1,1,0
4593430,1,1,1.0,2.0,1.0,46.0,334.0,3.0,3961.8056640625,815000,0,0,0,0
4593431,1,4,0.0,2.0,1.0,19.0,223.0,6.0,3393.939453125,8e+05,0,0,0,0
4593431,1,5,0.0,2.0,0.0,20.0,223.0,7.0,3797.7041015625,781242,0,0,0,0
4593432,1,1,0.0,2.0,1.0,55.0,182.0,5.0,2604.13989257812,869453,0,1,0,0
4593432,1,3,1.0,2.0,1.0,30.0,182.0,6.0,5833.33349609375,1283333.375,0,1,0,0
4593433,1,3,1.0,2.0,0.0,24.0,172.0,7.0,3797.7041015625,869453,0,1,0,0
4593434,1,3,1.0,3.0,0.0,57.0,155.0,6.0,4375.0,1115687.375,0,1,0,0
4593434,1,4,1.0,3.0,0.0,54.0,155.0,7.0,3797.7041015625,930929.4375,0,1,0,0
4593434,1,5,1.0,3.0,1.0,25.0,155.0,7.0,5185.18505859375,1053333.375,0,1,0,0
4593435,1,5,1.0,3.0,1.0,30.0,238.0,7.0,5833.33349609375,1061666.625,1,1,0,0
4593435,1,7,1.0,3.0,0.0,43.0,238.0,7.0,3333.33325195312,862333.3125,0,1,1,0
4593438,1,4,0.0,2.0,1.0,23.0,153.0,6.0,2592.59252929688,5e+05,0,0,0,0
4593438,1,5,1.0,2.0,0.0,19.0,153.0,5.0,3797.7041015625,869453,0,1,0,0
4593439,1,1,1.0,3.0,0.0,59.0,219.0,6.0,4861.111328125,1163211,0,1,0,0
4593439,1,2,1.0,3.0,0.0,33.0,219.0,7.0,6883.33349609375,1351544.375,0,1,0,0
4593441,1,1,1.0,2.0,1.0,38.0,144.0,6.0,4517.73046875,1103044.375,0,1,1,0
4593441,1,4,0.0,2.0,0.0,19.0,144.0,6.0,3240.74072265625,375000,0,0,0,0
4593442,2,1,1.0,3.0,1.0,31.0,295.0,6.0,4375.0,4074311.5,0,1,0,0
4593442,3,1,1.0,3.0,1.0,40.0,295.0,6.0,3888.88891601562,1149687.375,0,1,0,0
4593444,1,1,1.0,1.0,1.0,45.0,255.0,4.0,5347.22216796875,1301544.375,0,1,1,0
4593446,1,1,1.0,2.0,1.0,36.0,335.0,6.0,2531.802734375,931242,0,0,1,0
4593446,1,2,1.0,2.0,0.0,32.0,335.0,6.0,3038.16333007812,1020286.3125,0,1,1,0
4593449,1,3,1.0,3.0,1.0,23.0,249.0,7.0,4861.111328125,1075000,0,1,0,0
4593450,1,1,1.0,1.0,0.0,53.0,212.0,6.0,4239.2978515625,931953,0,1,0,0
4593450,1,2,1.0,1.0,1.0,53.0,212.0,6.0,5833.33349609375,1363211,0,1,0,0
4593450,1,3,0.0,1.0,1.0,20.0,212.0,6.0,3305.5556640625,340000,0,0,0,0
4593451,1,1,1.0,3.0,1.0,24.0,326.0,7.0,11666.6669921875,2254877.75,1,1,0,0
4593451,1,2,1.0,3.0,0.0,29.0,326.0,7.0,3797.7041015625,950703,0,1,1,0
4593451,1,4,0.0,3.0,1.0,22.0,326.0,6.0,3797.7041015625,781242,0,0,0,0
4593451,1,5,1.0,3.0,1.0,21.0,326.0,6.0,4618.0556640625,1038211,0,1,0,0
4593452,1,1,1.0,3.0,0.0,56.0,271.0,5.0,3797.7041015625,869453,1,1,0,0
4593452,1,4,1.0,3.0,0.0,30.0,271.0,7.0,10208.3330078125,2149000,0,0,1,0
4593453,1,1,1.0,2.0,1.0,36.0,292.0,7.0,5833.33349609375,1329000,0,1,1,0
4593453,1,2,1.0,2.0,0.0,37.0,292.0,6.0,3797.7041015625,960929.4375,0,1,1,0
4593454,1,1,1.0,1.0,1.0,23.0,221.0,6.0,5833.33349609375,1413211,1,1,0,0
4593454,1,2,1.0,1.0,0.0,20.0,221.0,6.0,4166.66650390625,1197377.625,0,1,0,0
4593455,1,1,0.0,3.0,0.0,53.0,246.0,5.0,4083.33325195312,840000,0,0,0,0
4593456,1,1,1.0,3.0,1.0,43.0,303.0,6.0,7179.4873046875,3741666.75,0,0,0,0
4593457,1,1,0.0,2.0,1.0,34.0,255.0,3.0,3111.11108398438,8e+05,0,0,0,0
4593458,1,1,1.0,2.0,1.0,45.0,211.0,4.0,3797.7041015625,842718.4375,0,0,0,0
4593459,1,2,1.0,2.0,1.0,25.0,305.0,6.0,5833.33349609375,1250000,0,1,0,0
4593459,1,3,1.0,2.0,0.0,23.0,305.0,6.0,3888.88891601562,758166.6875,0,1,1,0
4593460,1,2,0.0,2.0,1.0,28.0,398.0,6.0,3888.88891601562,954877.6875,0,1,0,0
4593468,1,2,1.0,3.0,0.0,29.0,219.0,6.0,4841.66650390625,979687.4375,0,1,0,0
4593469,1,1,1.0,2.0,0.0,35.0,290.0,4.0,3797.7041015625,930929.4375,0,1,0,0
4593469,1,2,1.0,2.0,1.0,26.0,290.0,6.0,3797.7041015625,930929.4375,0,1,0,0
4593471,1,1,0.0,2.0,1.0,64.0,266.0,4.0,3111.11108398438,833333.3125,0,1,0,0
4593471,1,2,1.0,2.0,0.0,44.0,266.0,6.0,3888.88891601562,445666.65625,0,1,1,0
4593473,1,1,1.0,3.0,1.0,49.0,255.0,6.0,6319.4443359375,1413333.375,0,0,1,0
4593475,1,2,1.0,2.0,0.0,28.0,219.0,7.0,8750.0,2038211,0,1,0,0
4593476,1,1,1.0,5.0,1.0,58.0,184.0,7.0,34027.77734375,7e+06,0,0,0,0
4593476,1,2,1.0,5.0,0.0,53.0,184.0,7.0,12777.77734375,2491666.75,0,0,0,0
4593476,1,3,1.0,5.0,1.0,24.0,184.0,7.0,11472.22265625,1356877.625,0,1,0,0
4593477,1,2,1.0,1.0,0.0,27.0,337.0,6.0,3888.88891601562,1009687.4375,0,1,1,0
4593478,1,1,1.0,3.0,1.0,48.0,322.0,6.0,3797.7041015625,1360929.375,0,1,1,0
4593479,1,1,1.0,1.0,1.0,47.0,259.0,6.0,3797.7041015625,930934.4375,0,1,0,0
4593482,1,1,1.0,1.0,0.0,32.0,243.0,5.0,2531.802734375,781242,0,0,0,0
4593482,1,2,1.0,1.0,1.0,49.0,243.0,4.0,3797.7041015625,931953,0,1,0,0
4593483,1,1,0.0,2.0,1.0,35.0,213.0,4.0,3402.77783203125,7e+05,0,0,0,0
4593483,1,2,0.0,2.0,0.0,33.0,213.0,6.0,1296.29626464844,1e+05,0,0,0,0
4593485,1,1,1.0,3.0,0.0,52.0,231.0,6.0,3038.16333007812,869453,0,1,0,0
4593485,1,3,0.0,3.0,1.0,27.0,231.0,7.0,5366.66650390625,575000,0,0,0,0
4593485,1,5,1.0,3.0,1.0,28.0,231.0,6.0,6319.4443359375,1300000,0,1,0,0
4593486,1,1,1.0,5.0,0.0,58.0,205.0,7.0,42424.2421875,10833333,0,0,0,0
