directorio,secuencia_p,orden,formal,estrato1,sex,age,fweight,maxeduclevel,y_salary_m_hu,y_total_m,p6585s1,p6585s2,p6585s3,p6585s4
4514404,1,1,0.0,2.0,0.0,62.0,250.0,6.0,3791.66674804688,780000,0,0,0,0
4514405,1,1,0.0,2.0,1.0,47.0,255.0,6.0,12444.4443359375,3200000,0,0,0,0
4514406,1,2,0.0,3.0,1.0,18.0,228.0,7.0,4666.66650390625,3e+05,0,0,0,0
4514406,1,1,1.0,3.0,0.0,44.0,228.0,7.0,16333.3330078125,7e+05,0,0,0,0
4514409,1,2,0.0,2.0,1.0,23.0,208.0,6.0,2333.33325195312,8e+05,0,0,0,0
4514411,1,3,1.0,3.0,1.0,22.0,194.0,6.0,3586.12426757812,766883.6875,0,1,0,0
4514411,1,4,1.0,3.0,0.0,21.0,194.0,6.0,3586.12426757812,737717,0,1,0,0
4514411,1,1,1.0,3.0,1.0,47.0,194.0,6.0,3586.12426757812,766883.6875,0,1,0,0
4514411,1,2,1.0,3.0,0.0,50.0,194.0,6.0,3586.12426757812,798967.0625,0,1,0,0
4514412,1,1,1.0,3.0,1.0,35.0,205.0,7.0,6066.66650390625,1541473.375,0,1,1,0
4514412,1,2,1.0,3.0,0.0,37.0,205.0,7.0,4303.34912109375,889217,0,0,1,0
4514413,1,3,1.0,2.0,0.0,24.0,134.0,7.0,4666.66650390625,1058300,0,1,0,0
4514413,1,2,0.0,2.0,0.0,47.0,134.0,5.0,1944.44445800781,320000,0,1,0,0
4514415,1,2,1.0,3.0,1.0,18.0,228.0,7.0,4861.111328125,1162306.625,0,1,0,0
4514415,1,1,0.0,3.0,0.0,46.0,228.0,6.0,2100.0,360000,0,0,0,0
4514416,1,2,1.0,2.0,0.0,57.0,211.0,6.0,3791.66674804688,780000,0,1,0,0
4514416,1,3,0.0,2.0,1.0,24.0,211.0,6.0,8750.0,6e+05,0,0,0,0
4514416,1,5,1.0,2.0,0.0,20.0,211.0,7.0,3586.12426757812,737717,0,0,0,0
4514419,1,3,0.0,2.0,1.0,42.0,238.0,5.0,3442.67944335938,737717,0,0,0,0
4514420,1,2,1.0,2.0,1.0,25.0,259.0,6.0,5347.22216796875,1274806.625,0,1,0,0
4514421,1,2,1.0,3.0,0.0,58.0,234.0,7.0,15555.5556640625,2333333.25,0,0,0,0
4514422,1,1,1.0,2.0,1.0,46.0,243.0,6.0,9800.0,2600000,0,0,0,0
4514423,1,3,1.0,2.0,1.0,25.0,210.0,6.0,4618.0556640625,950000,0,1,0,0
4514424,1,1,1.0,3.0,0.0,31.0,250.0,7.0,9722.22265625,2166666.75,0,1,0,0
4514428,1,2,1.0,3.0,0.0,23.0,263.0,7.0,7259.25927734375,1599806.625,0,1,0,0
4514428,1,1,1.0,3.0,1.0,25.0,263.0,7.0,4666.66650390625,903140,0,1,0,0
4514429,1,1,0.0,2.0,1.0,26.0,352.0,6.0,5833.33349609375,1200000,0,0,0,0
4514430,1,2,1.0,3.0,0.0,35.0,255.0,7.0,19765.27734375,4441000,0,0,0,0
4514431,1,1,1.0,2.0,1.0,52.0,243.0,5.0,4861.111328125,1166473.375,0,1,0,0
4514431,1,2,1.0,2.0,0.0,51.0,243.0,5.0,3586.12426757812,882333.4375,0,1,0,0
4514433,1,1,1.0,2.0,1.0,60.0,230.0,6.0,6049.3828125,1483140,0,1,0,0
4514434,1,1,1.0,3.0,1.0,30.0,258.0,6.0,5541.66650390625,1304806.625,0,1,0,0
4514434,2,1,0.0,3.0,1.0,32.0,258.0,5.0,2500.0,9e+05,0,0,0,0
4514434,4,1,1.0,3.0,1.0,27.0,258.0,3.0,5541.66650390625,1223140,0,1,0,0
4514435,1,3,1.0,3.0,1.0,21.0,194.0,7.0,3586.12426757812,737717,0,1,0,0
4514436,1,1,1.0,2.0,1.0,30.0,263.0,7.0,4861.111328125,1e+06,0,1,0,0
4514438,1,3,1.0,3.0,1.0,27.0,238.0,7.0,14000.0,3150000,0,0,1,0
4514438,1,1,1.0,3.0,1.0,59.0,238.0,3.0,4861.111328125,1166473.375,0,1,0,0
4514438,1,2,1.0,3.0,0.0,57.0,238.0,4.0,7000.0,1300000,0,1,0,0
4514440,1,1,0.0,3.0,1.0,43.0,194.0,6.0,2871.794921875,8e+05,0,0,0,0
4514442,1,1,1.0,2.0,1.0,42.0,263.0,7.0,5833.33349609375,1403806.625,0,1,1,0
4514446,1,2,0.0,4.0,0.0,26.0,242.0,7.0,11666.6669921875,3e+06,0,0,0,0
4514448,1,3,1.0,2.0,1.0,22.0,223.0,6.0,3586.12426757812,820857,0,1,0,0
4514449,1,5,1.0,3.0,0.0,41.0,185.0,7.0,14583.3330078125,3250000,0,0,0,0
4514450,1,3,1.0,2.0,0.0,44.0,286.0,6.0,4375.0,1254000,0,1,1,0
4514450,1,4,1.0,2.0,1.0,21.0,286.0,7.0,5833.33349609375,1383140,0,1,0,0
4514450,1,5,1.0,2.0,1.0,19.0,286.0,6.0,2430.5556640625,5e+05,0,0,0,0
4514450,1,7,1.0,2.0,0.0,39.0,286.0,7.0,3586.12426757812,991333.4375,0,1,1,0
4514451,1,3,1.0,2.0,1.0,19.0,235.0,6.0,1000.0,3e+05,0,0,0,0
4514452,1,1,1.0,4.0,1.0,59.0,199.0,7.0,35826.390625,7984166.5,0,0,0,0
4514452,1,2,1.0,4.0,0.0,53.0,199.0,7.0,3990.2431640625,972394.1875,0,1,0,0
4514453,1,2,1.0,4.0,0.0,51.0,250.0,7.0,38888.890625,1.2e+07,0,0,0,0
4514454,1,3,1.0,4.0,1.0,31.0,219.0,7.0,12152.77734375,2683333.25,0,0,0,0
4514454,1,4,1.0,4.0,0.0,28.0,219.0,7.0,9657.4072265625,1623333.375,0,0,0,0
4514456,1,3,1.0,3.0,1.0,26.0,212.0,7.0,6319.4443359375,1300000,0,0,0,0
4514457,1,2,1.0,2.0,0.0,57.0,234.0,7.0,9041.6669921875,1550000,0,1,0,0
4514458,1,1,1.0,3.0,0.0,49.0,235.0,7.0,2333.33325195312,6e+05,0,0,0,0
4514459,1,1,1.0,2.0,0.0,58.0,239.0,7.0,14583.3330078125,3375000,0,0,0,0
4514460,1,2,1.0,3.0,1.0,25.0,236.0,6.0,3586.12426757812,883357,0,1,0,0
4514463,1,1,1.0,3.0,0.0,26.0,338.0,7.0,9722.22265625,2654000,0,0,1,0
4514466,1,1,0.0,3.0,1.0,51.0,255.0,6.0,7291.66650390625,1500000,0,0,0,0
4514467,1,1,1.0,3.0,1.0,45.0,205.0,6.0,2603.33325195312,781000,0,0,0,0
4514468,1,1,1.0,2.0,1.0,38.0,194.0,6.0,4131.9443359375,916666.6875,0,0,0,0
4514470,1,1,1.0,3.0,1.0,36.0,263.0,7.0,20308.642578125,5287500,0,0,0,0
4514471,1,3,0.0,1.0,1.0,20.0,194.0,5.0,2333.33325195312,5e+05,0,0,0,0
4514472,1,1,1.0,4.0,0.0,53.0,242.0,7.0,75000.0,1.8e+07,0,0,0,0
4514474,1,3,1.0,2.0,1.0,22.0,235.0,6.0,2390.74951171875,820857,0,1,0,0
4514475,1,1,1.0,1.0,1.0,46.0,342.0,4.0,3586.12426757812,820857,0,1,0,0
4514476,1,2,1.0,1.0,1.0,18.0,252.0,6.0,3187.666015625,862357,0,1,1,0
4514477,1,2,1.0,2.0,0.0,27.0,412.0,6.0,3586.12426757812,849857,0,1,1,0
4514477,1,1,1.0,2.0,0.0,52.0,412.0,7.0,4861.111328125,1226473.375,1,1,1,0
4514479,1,1,0.0,2.0,0.0,55.0,254.0,6.0,1215.27783203125,250000,0,0,0,0
4514480,1,1,1.0,2.0,1.0,37.0,205.0,7.0,6319.4443359375,1300000,0,1,0,0
4514481,1,1,1.0,1.0,1.0,63.0,239.0,3.0,3888.88891601562,833333.3125,0,1,0,0
4514483,1,1,0.0,2.0,0.0,49.0,239.0,4.0,4666.66650390625,6e+05,0,0,0,0
4514483,1,2,0.0,2.0,1.0,22.0,239.0,6.0,4131.9443359375,850000,0,0,0,0
4514485,1,3,1.0,1.0,1.0,23.0,232.0,6.0,3586.12426757812,850023.6875,0,1,0,0
4514485,1,2,0.0,1.0,1.0,28.0,232.0,3.0,2722.22216796875,7e+05,0,0,0,0
4514488,1,1,1.0,1.0,1.0,41.0,341.0,5.0,3586.12426757812,820857,0,1,0,0
4514489,1,1,1.0,2.0,1.0,45.0,194.0,6.0,4375.0,1087140,0,1,1,0
4514489,1,2,1.0,2.0,0.0,44.0,194.0,6.0,4511.111328125,1025640,0,1,0,0
4514490,1,1,1.0,2.0,1.0,40.0,342.0,7.0,5600.0,1266666.625,0,1,0,0
4514490,1,2,1.0,2.0,0.0,34.0,342.0,7.0,4666.66650390625,1132300,0,1,1,0
4514491,1,1,1.0,3.0,1.0,26.0,388.0,6.0,2868.8994140625,866690.3125,0,1,0,0
4514491,1,2,1.0,3.0,0.0,23.0,388.0,6.0,4303.34912109375,941357,0,1,1,0
4514492,1,1,0.0,3.0,1.0,44.0,263.0,4.0,4148.14794921875,8e+05,0,0,0,0
4514494,1,6,0.0,3.0,0.0,20.0,259.0,6.0,4375.0,9e+05,0,0,0,0
4514494,1,1,1.0,3.0,1.0,44.0,259.0,4.0,3586.12426757812,911333.4375,0,1,1,0
4514494,1,7,0.0,3.0,1.0,20.0,259.0,5.0,4200.0,9e+05,0,0,0,0
4514494,1,5,1.0,3.0,1.0,21.0,259.0,6.0,4861.111328125,1316473.375,0,1,0,0
4514497,1,2,0.0,2.0,0.0,38.0,205.0,6.0,4166.66650390625,5e+05,0,0,0,0
4514497,1,1,0.0,2.0,1.0,43.0,205.0,6.0,4666.66650390625,8e+05,0,0,0,0
4514498,1,1,1.0,2.0,1.0,32.0,303.0,6.0,4861.111328125,1e+06,0,0,0,0
4514500,1,1,1.0,2.0,0.0,51.0,239.0,4.0,4303.34912109375,1095690.25,0,1,1,0
4514500,1,2,0.0,2.0,0.0,19.0,239.0,6.0,1555.55554199219,160000,0,0,0,0
4514501,1,1,1.0,2.0,0.0,38.0,205.0,4.0,3888.88891601562,1166473.375,0,1,0,0
4514501,1,2,1.0,2.0,1.0,43.0,205.0,4.0,3187.666015625,754383.6875,0,0,0,0
4514502,1,1,1.0,2.0,1.0,54.0,263.0,6.0,4303.34912109375,920857,1,1,0,0
4514507,1,1,1.0,2.0,1.0,21.0,248.0,6.0,3586.12426757812,737717,0,1,0,0
4514511,1,1,1.0,2.0,0.0,43.0,288.0,6.0,3442.67944335938,882333.4375,0,1,0,0
4514512,1,3,0.0,2.0,0.0,37.0,193.0,4.0,1750.0,3e+05,0,0,0,0
4514512,1,2,0.0,2.0,0.0,24.0,193.0,7.0,1866.66662597656,240000,0,0,0,0
4514514,1,2,1.0,2.0,0.0,43.0,254.0,6.0,4303.34912109375,1080857,0,1,1,0
4514514,1,1,1.0,2.0,1.0,43.0,254.0,7.0,3586.12426757812,1270333.375,0,1,1,0
4514515,1,1,0.0,2.0,1.0,33.0,341.0,6.0,3733.33325195312,8e+05,0,0,0,0
4514516,1,2,1.0,2.0,0.0,32.0,246.0,7.0,16916.666015625,3075000,0,1,0,0
4514518,1,1,1.0,2.0,1.0,52.0,205.0,6.0,7291.66650390625,1737140,0,1,1,0
4514518,1,3,1.0,2.0,0.0,23.0,205.0,7.0,5426.3564453125,1166473.375,0,1,0,0
4514519,1,1,1.0,1.0,1.0,35.0,388.0,6.0,2390.74951171875,859193.4375,0,0,1,0
4514520,1,1,1.0,1.0,0.0,23.0,248.0,6.0,3586.12426757812,911333.4375,0,1,1,0
4514521,1,3,0.0,1.0,0.0,21.0,190.0,7.0,2592.59252929688,8e+05,0,0,0,0
4514538,1,2,1.0,2.0,0.0,41.0,331.0,7.0,3586.12426757812,1441333.5,0,1,1,0
4514538,1,1,1.0,2.0,1.0,54.0,331.0,5.0,3586.12426757812,882333.4375,0,1,0,0
4514542,1,4,1.0,4.0,1.0,23.0,227.0,7.0,9722.22265625,2166666.75,0,0,0,0
4514549,1,1,0.0,2.0,1.0,57.0,239.0,6.0,4666.66650390625,8e+05,0,0,0,0
4521221,1,1,1.0,5.0,0.0,33.0,250.0,7.0,72916.6640625,1e+07,0,0,0,0
4521222,1,2,0.0,3.0,1.0,63.0,132.0,6.0,3500.0,6e+05,0,0,0,0
4521223,1,1,1.0,5.0,1.0,41.0,303.0,7.0,77777.78125,1.6e+07,0,0,0,0
4521223,1,2,1.0,5.0,0.0,38.0,303.0,7.0,41319.4453125,8750000,0,1,0,0
4521228,1,1,0.0,3.0,0.0,49.0,386.0,5.0,4375.0,9e+05,0,0,0,0
4521229,1,1,1.0,3.0,1.0,54.0,254.0,7.0,9722.22265625,2200000,0,1,0,0
4521229,1,3,1.0,3.0,1.0,27.0,254.0,7.0,5600.0,1383140,0,1,0,0
4521231,1,1,1.0,3.0,1.0,47.0,156.0,4.0,3586.12426757812,737717,0,1,0,0
4521231,1,3,1.0,3.0,0.0,24.0,156.0,7.0,5347.22216796875,1150000,0,1,0,0
4521232,1,2,1.0,2.0,1.0,62.0,238.0,4.0,4375.0,9e+05,0,1,0,0
4521232,1,3,1.0,2.0,1.0,44.0,238.0,6.0,4355.5556640625,1120000,0,1,0,0
4521233,1,2,1.0,3.0,1.0,42.0,259.0,7.0,10694.4443359375,2708333.25,0,0,0,0
4521234,1,1,1.0,2.0,1.0,63.0,226.0,4.0,3586.12426757812,882333.4375,0,1,0,0
4521234,1,3,1.0,2.0,0.0,33.0,226.0,7.0,4861.111328125,1166473.375,0,1,0,0
4521237,1,1,1.0,3.0,0.0,50.0,291.0,5.0,3586.12426757812,804383.6875,0,1,0,0
4521237,1,2,1.0,3.0,0.0,30.0,291.0,7.0,4861.111328125,1083333.375,0,1,0,0
4521239,1,1,1.0,2.0,1.0,40.0,254.0,6.0,3586.12426757812,1207423.625,0,1,1,0
4521239,1,2,1.0,2.0,0.0,34.0,254.0,5.0,4666.66650390625,671373.3125,0,1,1,0
4521243,1,1,0.0,2.0,1.0,23.0,286.0,6.0,4472.22216796875,920000,0,0,0,0
4521243,1,2,1.0,2.0,0.0,23.0,286.0,7.0,3129.70849609375,882333.4375,0,1,0,0
4521246,1,2,0.0,2.0,0.0,45.0,282.0,5.0,848.48486328125,2e+05,0,0,0,0
4521246,1,3,0.0,2.0,0.0,18.0,282.0,5.0,2083.33325195312,5e+05,0,0,0,0
4521248,1,2,1.0,3.0,0.0,37.0,334.0,7.0,34027.77734375,9183334,0,0,0,0
4521248,1,4,1.0,3.0,0.0,41.0,334.0,6.0,4375.0,975000,0,1,0,0
4521250,1,2,1.0,2.0,0.0,26.0,329.0,6.0,6805.5556640625,1462500,0,1,0,0
4521252,1,1,1.0,3.0,1.0,29.0,303.0,7.0,12638.888671875,2845666.5,0,0,1,0
4521252,1,2,1.0,3.0,0.0,28.0,303.0,7.0,5833.33349609375,1279000,0,1,1,0
4521253,1,3,0.0,2.0,1.0,30.0,313.0,6.0,7777.77783203125,1549806.625,0,1,0,0
4521255,1,3,1.0,2.0,1.0,28.0,189.0,6.0,3586.12426757812,912523.6875,0,1,0,0
4521255,1,4,1.0,2.0,0.0,22.0,189.0,6.0,3586.12426757812,882523.6875,0,1,0,0
4521256,1,1,1.0,2.0,1.0,25.0,388.0,7.0,4861.111328125,1244473.375,0,1,1,0
4521256,1,2,0.0,2.0,0.0,23.0,388.0,7.0,3402.77783203125,7e+05,0,0,0,0
4521257,1,1,1.0,3.0,1.0,59.0,160.0,7.0,48416.66796875,10008333,0,0,0,0
4521257,1,3,1.0,3.0,1.0,25.0,160.0,7.0,7777.77783203125,1600000,0,0,0,0
4521258,1,2,1.0,3.0,0.0,54.0,230.0,7.0,31500.0,7786666.5,0,0,0,0
4521259,1,2,1.0,3.0,0.0,36.0,317.0,7.0,7291.66650390625,1653000,0,0,1,0
4521261,1,1,1.0,3.0,0.0,48.0,250.0,7.0,3586.12426757812,764383.6875,0,1,0,0
4521265,1,1,1.0,2.0,0.0,60.0,243.0,5.0,3586.12426757812,882523.6875,0,1,0,0
4521266,1,1,1.0,3.0,1.0,50.0,243.0,7.0,13333.3330078125,4500000,0,0,0,0
4521266,1,2,1.0,3.0,0.0,48.0,243.0,7.0,33333.33203125,8e+06,0,0,0,0
4521267,1,1,1.0,2.0,1.0,54.0,372.0,6.0,5833.33349609375,1300000,0,1,0,0
4521268,1,1,1.0,3.0,1.0,39.0,391.0,7.0,24305.5546875,5e+06,0,0,0,0
4521268,1,2,1.0,3.0,0.0,36.0,391.0,7.0,14583.3330078125,3250000,0,0,0,0
4521269,1,1,1.0,3.0,1.0,38.0,255.0,7.0,14518.5185546875,3033333.25,0,0,0,0
